-122.29,37.83,52,1121,211,554,187,3.3929,1,75700
-122.29,37.82,49,135,29,86,23,6.1183,1,75000
-122.29,37.81,50,760,190,377,122,0.9011,1,86100
-122.3,37.81,52,1224,237,521,159,1.191,1,76100
-122.3,37.81,48,828,182,392,133,2.5938,1,73500
-122.3,37.81,52,1010,209,604,187,1.1667,1,78400
-122.3,37.81,48,1455,354,788,332,0.8056,1,84400
-122.29,37.8,52,1027,244,492,147,2.6094,1,81300
-122.3,37.81,52,572,109,274,82,1.8516,1,85000
-122.29,37.81,46,2801,644,1823,611,0.9802,1,129200
-122.29,37.81,26,768,152,392,127,1.7719,1,82500
-122.29,37.81,46,935,297,582,277,0.7286,1,95200
-122.29,37.81,49,844,204,560,152,1.75,1,75000
-122.29,37.81,46,12,4,18,7,0.4999,1,67500
-122.29,37.81,20,835,161,290,133,2.483,1,137500
-122.28,37.81,17,1237,462,762,439,0.9241,1,177500
-122.28,37.81,36,2914,562,1236,509,2.4464,1,102100
-122.28,37.81,19,1207,243,721,207,1.1111,1,108300
-122.29,37.81,23,1745,374,1054,325,0.8026,1,112500
-122.28,37.8,38,684,176,344,155,2.0114,1,131300
-122.28,37.81,17,924,289,609,289,1.5,1,162500
-122.27,37.81,52,210,56,183,56,1.1667,1,112500
-122.28,37.81,52,340,97,200,87,1.5208,1,112500
-122.28,37.81,52,386,164,346,155,0.8075,1,137500
-122.28,37.81,35,948,184,467,169,1.8088,1,118800
-122.28,37.81,52,773,143,377,115,2.4083,1,98200
-122.27,37.81,40,880,451,582,380,0.977,1,118800
-122.27,37.81,10,875,348,546,330,0.76,1,162500
-122.27,37.8,10,105,42,125,39,0.9722,1,137500
-122.27,37.8,52,249,78,396,85,1.2434,1,500001
-122.27,37.8,16,994,392,800,362,2.0938,1,162500
-122.28,37.8,52,215,87,904,88,0.8668,1,137500
-122.28,37.8,52,96,31,191,34,0.75,1,162500
-122.27,37.79,27,1055,347,718,302,2.6354,1,187500
-122.27,37.8,39,1715,623,1327,467,1.8477,1,179200
-122.26,37.8,36,5329,2477,3469,2323,2.0096,1,130000
-122.26,37.82,31,4596,1331,2048,1180,2.8345,1,183800
-122.26,37.81,29,335,107,202,91,2.0062,1,125000
-122.26,37.82,22,3682,1270,2024,1250,1.2185,1,170000
-122.26,37.82,37,3633,1085,1838,980,2.6104,1,193100
-122.25,37.81,29,4656,1414,2304,1250,2.4912,1,257800
-122.25,37.81,28,5806,1603,2563,1497,3.2177,1,273400
-122.25,37.81,39,854,242,389,228,3.125,1,237500
-122.25,37.81,52,2155,701,895,613,2.5795,1,350000
-122.26,37.81,34,5871,1914,2689,1789,2.8406,1,335700
-122.24,37.82,52,1509,225,674,244,4.9306,1,313400
-122.24,37.81,52,2026,482,709,456,3.2727,1,268500
-122.25,37.81,52,1758,460,686,422,3.1691,1,259400
-122.24,37.82,52,3481,751,1444,718,3.9,1,275700
-122.25,37.82,28,3337,855,1520,802,3.9063,1,225000
-122.25,37.82,52,1424,289,550,253,5.0917,1,262500
-122.25,37.82,32,3809,1098,1806,1022,2.6429,1,218500
-122.25,37.82,26,3959,1196,1749,1217,3.0233,1,255000
-122.25,37.83,52,2376,559,939,519,3.1484,1,224100
-122.25,37.83,35,1613,428,675,422,3.4722,1,243100
-122.25,37.83,52,1279,287,534,291,3.1429,1,231600
-122.25,37.83,28,5022,1750,2558,1661,2.4234,1,218500
-122.25,37.83,52,4190,1105,1786,1037,3.0897,1,234100
-122.23,37.84,50,2515,399,970,373,5.8596,1,327600
-122.23,37.84,47,3175,454,1098,485,5.2868,1,347600
-122.24,37.83,41,2576,406,794,376,5.956,1,366100
-122.24,37.85,37,334,54,98,47,4.9643,1,335000
-122.23,37.85,52,2800,411,1061,403,6.3434,1,373600
-122.24,37.84,52,3529,574,1177,555,5.1773,1,389500
-122.24,37.85,52,2612,365,901,367,7.2354,1,391100
-122.22,37.85,28,5287,1048,2031,956,5.457,1,337300
-122.22,37.84,50,2935,473,1031,479,7.5,1,295200
-122.21,37.84,44,3424,597,1358,597,6.0194,1,292300
-122.21,37.83,40,4991,674,1616,654,7.5544,1,411500
-122.2,37.84,30,2211,346,844,343,6.0666,1,311500
-122.21,37.84,34,3038,490,1140,496,7.0548,1,325900
-122.19,37.84,18,1617,210,533,194,11.6017,1,392600
-122.2,37.84,35,2865,460,1072,443,7.4882,1,319300
-122.21,37.83,34,5065,788,1627,766,6.8976,1,333300
-122.19,37.83,28,1326,184,463,190,8.2049,1,335200
-122.2,37.83,26,1589,223,542,211,8.401,1,351200
-122.19,37.83,29,1791,271,661,269,6.8538,1,368900
-122.19,37.82,32,1835,264,635,263,8.317,1,365900
-122.2,37.82,37,1229,181,420,176,7.0175,1,366700
-122.2,37.82,39,3770,534,1265,500,6.3302,1,362800
-122.18,37.81,30,292,38,126,52,6.3624,1,483300
-122.21,37.82,52,2375,333,813,350,7.0549,1,331400
-122.2,37.81,45,2964,436,1067,426,6.7851,1,323500
-122.21,37.8,50,2833,605,1260,552,2.8929,1,216700
-122.21,37.8,38,2254,535,951,487,3.0812,1,233100
-122.21,37.81,52,1389,212,510,224,5.2402,1,296400
-122.22,37.81,52,1971,335,765,308,6.5217,1,273700
-122.22,37.8,52,2183,465,1129,460,3.2632,1,227700
-122.22,37.8,52,2286,464,1073,441,3.0298,1,199600
-122.22,37.8,52,2721,541,1185,515,4.5428,1,239800
-122.22,37.81,52,2024,339,756,340,4.072,1,270100
-122.22,37.81,52,2944,536,1034,521,5.3509,1,302100
-122.23,37.8,52,2033,486,787,459,3.1603,1,269500
-122.23,37.81,52,1433,229,612,213,4.7708,1,314700
-122.22,37.81,52,2927,402,1021,380,8.1564,1,390100
-122.23,37.81,52,2315,292,861,258,8.8793,1,410300
-122.24,37.81,52,2485,313,953,327,6.8591,1,352400
-122.24,37.81,52,1490,238,634,256,6.0302,1,287300
-122.23,37.81,52,2814,365,878,352,7.508,1,348700
-122.24,37.81,52,2093,550,918,483,2.7477,1,243800
-122.24,37.8,52,888,168,360,175,2.1944,1,211500
-122.25,37.8,52,2087,510,1197,488,3.0149,1,218400
-122.24,37.81,52,2513,502,1048,518,3.675,1,269900
-122.25,37.81,46,3232,835,1373,747,3.225,1,218800
-122.25,37.8,42,4120,1065,1715,1015,2.9345,1,225000
-122.25,37.8,43,2364,792,1359,722,2.1429,1,250000
-122.25,37.8,41,1471,469,1062,413,1.6121,1,171400
-122.25,37.8,29,2468,864,1335,773,1.3929,1,193800
-122.24,37.79,27,1632,492,1171,429,2.3173,1,125000
-122.25,37.79,45,1786,526,1475,460,1.7772,1,97500
-122.25,37.79,50,629,188,742,196,2.6458,1,125000
-122.25,37.79,52,1339,391,1086,363,2.181,1,138800
-122.25,37.8,36,1678,606,1645,543,2.2303,1,116700
-122.25,37.8,43,2344,647,1710,644,1.6504,1,151800
-122.24,37.8,52,996,228,731,228,2.2697,1,127000
-122.24,37.8,52,1591,373,1118,347,2.1563,1,128600
-122.24,37.8,52,1586,398,1006,335,2.1348,1,140600
-122.24,37.8,47,2046,588,1213,554,2.6292,1,182700
-122.23,37.8,52,1192,289,772,257,2.3833,1,146900
-122.24,37.8,52,1803,420,1321,401,2.957,1,122800
-122.24,37.8,49,2838,749,1487,677,2.5238,1,169300
-122.23,37.8,52,783,184,488,186,1.9375,1,126600
-122.23,37.8,51,1590,414,949,392,1.9028,1,127900
-122.23,37.8,50,1746,480,1149,415,2.25,1,123500
-122.23,37.8,52,1252,299,844,280,2.3929,1,111900
-122.23,37.79,43,5963,1344,4367,1231,2.1917,1,112800
-122.23,37.79,52,1783,395,1659,412,2.9357,1,107900
-122.23,37.79,30,999,264,1011,263,1.8854,1,137500
-122.24,37.79,39,1469,431,1464,389,2.1638,1,105500
-122.24,37.79,47,1372,395,1237,303,2.125,1,95500
-122.24,37.79,52,674,180,647,168,3.375,1,116100
-122.24,37.79,43,1626,376,1284,357,2.2542,1,112200
-122.25,37.79,51,175,43,228,55,2.1,1,75000
-122.25,37.79,39,461,129,381,123,1.6,1,112500
-122.25,37.79,52,902,237,846,227,3.625,1,125000
-122.26,37.8,20,2373,779,1659,676,1.6929,1,115000
-122.22,37.77,52,391,128,520,138,1.6471,1,95000
-122.22,37.77,52,1137,301,866,259,2.59,1,96400
-122.23,37.77,52,769,206,612,183,2.57,1,72000
-122.23,37.78,52,472,146,415,126,2.6429,1,71300
-122.23,37.78,52,862,215,994,213,3.0257,1,80800
-122.22,37.78,50,1920,530,1525,477,1.4886,1,128800
-122.23,37.78,43,1420,472,1506,438,1.9338,1,112500
-122.23,37.78,52,986,258,1008,255,1.4844,1,119400
-122.23,37.78,44,2340,825,2813,751,1.6009,1,118100
-122.23,37.79,48,1696,396,1481,343,2.0375,1,122500
-122.23,37.79,49,1175,217,859,219,2.293,1,106300
-122.22,37.79,37,2343,574,1608,523,2.1494,1,132500
-122.23,37.79,30,610,145,425,140,1.6198,1,122700
-122.23,37.79,40,930,199,564,184,1.3281,1,113300
-122.22,37.79,44,1487,314,961,272,3.5156,1,109500
-122.22,37.79,52,3424,690,2273,685,3.9048,1,164700
-122.21,37.79,52,762,190,600,195,3.0893,1,125000
-122.22,37.79,46,2366,575,1647,527,2.6042,1,124700
-122.22,37.79,49,1826,450,1201,424,2.5,1,136700
-122.22,37.79,38,3049,711,2167,659,2.7969,1,141700
-122.2,37.79,29,1640,376,939,340,2.8321,1,150000
-122.21,37.79,47,1543,307,859,292,2.9583,1,138800
-122.21,37.79,34,2364,557,1517,516,2.8365,1,139200
-122.21,37.79,35,1745,409,1143,386,2.875,1,143800
-122.21,37.8,39,2003,500,1109,464,3.0682,1,156500
-122.21,37.8,39,2018,447,1221,446,3.0757,1,151000
-122.2,37.8,43,3045,499,1115,455,4.9559,1,273000
-122.2,37.8,52,1547,293,706,268,4.7721,1,217100
-122.21,37.8,52,3519,711,1883,706,3.4861,1,187100
-122.2,37.8,41,2070,354,804,340,5.1184,1,239600
-122.21,37.8,48,1321,263,506,252,4.0977,1,229700
-122.19,37.8,48,1694,259,610,238,4.744,1,257300
-122.19,37.8,46,1938,341,768,332,4.2727,1,246900
-122.19,37.79,50,968,195,462,184,2.9844,1,179900
-122.2,37.79,40,1060,256,667,235,4.1739,1,169600
-122.2,37.8,46,2041,405,1059,399,3.8487,1,203300
-122.19,37.8,52,1813,271,637,277,4.0114,1,263400
-122.19,37.79,45,2718,451,1106,454,4.6563,1,231800
-122.19,37.79,28,3144,761,1737,669,2.9297,1,140500
-122.2,37.79,35,1802,459,1009,390,2.3036,1,126000
-122.2,37.79,49,882,195,737,210,2.6667,1,122000
-122.2,37.79,44,1621,452,1354,491,2.619,1,134700
-122.21,37.79,45,2115,533,1530,474,2.4167,1,139400
-122.2,37.79,45,2021,528,1410,480,2.7788,1,115400
-122.21,37.78,46,2239,508,1390,569,2.7352,1,137300
-122.21,37.78,52,1477,300,1065,269,1.8472,1,137000
-122.21,37.78,52,1056,224,792,245,2.6583,1,142600
-122.21,37.78,49,898,244,779,245,3.0536,1,137500
-122.22,37.78,44,2968,710,2269,610,2.3906,1,111700
-122.21,37.78,43,1702,460,1227,407,1.7188,1,126800
-122.21,37.78,47,881,248,753,241,2.625,1,111300
-122.22,37.77,40,494,114,547,135,2.8015,1,114800
-122.22,37.78,50,1776,473,1807,440,1.7276,1,102300
-122.22,37.78,44,1678,514,1700,495,2.0801,1,131900
-122.22,37.78,51,1637,463,1543,393,2.489,1,119100
-122.21,37.76,52,1420,314,1085,300,1.7546,1,80600
-122.21,37.77,52,591,173,353,137,4.0904,1,80600
-122.21,37.77,52,745,153,473,149,2.6765,1,88800
-122.2,37.77,49,2272,498,1621,483,2.4338,1,102400
-122.21,37.77,46,1234,375,1183,354,2.3309,1,98700
-122.21,37.77,43,1017,328,836,277,2.2604,1,100000
-122.19,37.77,42,932,254,900,263,1.8039,1,92300
-122.2,37.77,39,2689,597,1888,537,2.2562,1,94800
-122.2,37.77,41,1547,415,1024,341,2.0562,1,102000
-122.2,37.78,52,2300,443,1225,423,3.5398,1,158400
-122.2,37.78,39,1752,399,1071,376,3.1167,1,121600
-122.2,37.78,50,1867,403,1128,378,2.5401,1,129100
-122.2,37.77,43,2430,502,1537,484,2.898,1,121400
-122.21,37.78,44,1729,414,1240,393,2.3125,1,102800
-122.19,37.78,52,1026,180,469,168,2.875,1,160000
-122.19,37.77,52,2170,428,1086,425,3.3715,1,143900
-122.19,37.77,52,2329,445,1144,417,3.5114,1,151200
-122.19,37.78,52,2492,415,1109,375,4.3125,1,164400
-122.19,37.78,52,2198,397,984,369,3.22,1,156500
-122.18,37.78,33,142,31,575,47,3.875,1,225000
-122.19,37.78,49,1183,205,496,209,5.2328,1,174200
-122.19,37.78,52,1070,193,555,190,3.7262,1,166900
-122.2,37.78,45,1766,332,869,327,4.5893,1,163500
-122.18,37.79,39,617,95,236,106,5.2578,1,253000
-122.18,37.79,41,1411,233,626,214,7.0875,1,240700
-122.18,37.79,46,2109,387,922,329,3.9712,1,208100
-122.19,37.79,47,1229,243,582,256,2.9514,1,198100
-122.19,37.79,50,954,217,546,201,2.6667,1,172800
-122.18,37.81,37,1643,262,620,266,5.4446,1,336700
-122.18,37.8,34,1355,195,442,195,6.2838,1,318200
-122.18,37.8,23,2317,336,955,328,6.7527,1,285800
-122.13,37.77,24,2459,317,916,324,7.0712,1,293000
-122.16,37.79,22,12842,2048,4985,1967,5.9849,1,371000
-122.17,37.78,42,1524,260,651,267,3.6875,1,157300
-122.17,37.77,30,3326,746,1704,703,2.875,1,135300
-122.18,37.78,43,1985,440,1085,407,3.4205,1,136700
-122.18,37.78,50,1642,322,713,284,3.2984,1,160700
-122.17,37.78,49,893,177,468,181,3.875,1,140600
-122.17,37.78,52,653,128,296,121,4.175,1,144000
-122.16,37.77,47,1256,,570,218,4.375,1,161900
-122.16,37.77,48,977,194,446,180,4.7708,1,156300
-122.16,37.77,45,2324,397,968,384,3.5739,1,176000
-122.16,37.77,39,1583,349,857,316,3.0958,1,145800
-122.17,37.77,39,1612,342,912,322,3.3958,1,141900
-122.17,37.77,31,2424,533,1360,452,1.871,1,90700
-122.17,37.76,41,1594,367,1074,355,1.9356,1,90600
-122.17,37.76,47,2118,413,965,382,2.1842,1,107900
-122.18,37.76,37,1575,358,933,320,2.2917,1,107000
-122.17,37.76,38,1764,397,987,354,2.4333,1,98200
-122.18,37.76,50,1187,261,907,246,1.9479,1,89500
-122.18,37.76,52,754,175,447,165,3.9063,1,93800
-122.18,37.76,49,2308,452,1299,451,1.8407,1,96700
-122.18,37.77,27,909,236,396,157,2.0786,1,97500
-122.18,37.77,42,1180,257,877,268,2.8125,1,97300
-122.18,37.76,43,2018,408,1111,367,1.8913,1,91200
-122.19,37.76,49,1368,282,790,269,1.7056,1,91400
-122.18,37.77,52,2744,547,1479,554,2.2768,1,96200
-122.18,37.77,51,2107,471,1173,438,3.2552,1,120100
-122.18,37.77,52,1748,362,1029,366,2.0556,1,100000
-122.19,37.76,52,2024,391,1030,350,2.4659,1,94700
-122.2,37.76,47,1116,259,826,279,1.75,1,85700
-122.19,37.77,41,2036,510,1412,454,2.0469,1,89300
-122.19,37.77,45,1852,393,1132,349,2.7159,1,101400
-122.19,37.76,41,921,207,522,159,1.2083,1,72500
-122.19,37.76,45,995,238,630,237,1.925,1,74100
-122.2,37.75,36,606,132,531,133,1.5809,1,70000
-122.2,37.76,37,2680,736,1925,667,1.4097,1,84600
-122.19,37.76,38,1493,370,1144,351,0.7683,1,81800
-122.19,37.75,19,2207,565,1481,520,1.3194,1,81400
-122.19,37.75,28,856,189,435,162,0.8012,1,81800
-122.19,37.76,26,1293,297,984,303,1.9479,1,85800
-122.19,37.74,36,847,212,567,159,1.1765,1,87100
-122.18,37.74,42,541,154,380,123,2.3456,1,83500
-122.19,37.73,44,1066,253,825,244,2.1538,1,79700
-122.19,37.74,43,707,147,417,155,2.5139,1,83400
-122.19,37.73,45,1528,291,801,287,1.2625,1,84700
-122.18,37.73,42,909,215,646,198,2.9063,1,80000
-122.18,37.73,43,1391,293,855,285,2.5192,1,76400
-122.18,37.73,44,548,119,435,136,2.1111,1,79700
-122.18,37.73,42,4074,874,2736,780,2.455,1,82400
-122.17,37.74,41,1613,445,1481,414,2.4028,1,97700
-122.17,37.74,47,463,134,327,137,2.15,1,97200
-122.17,37.74,43,818,193,494,179,2.4776,1,101600
-122.17,37.73,43,1473,371,1231,341,2.1587,1,86500
-122.18,37.74,35,504,126,323,109,1.8438,1,90500
-122.17,37.74,46,1026,226,749,225,3.0298,1,107600
-122.17,37.74,46,769,183,693,178,2.25,1,84200
-122.18,37.74,46,2103,391,1339,354,2.2467,1,88900
-122.18,37.75,45,330,76,282,80,4.0469,1,80700
-122.18,37.75,46,941,218,621,195,1.325,1,87100
-122.17,37.75,38,992,,732,259,1.6196,1,85100
-122.18,37.75,45,990,261,901,260,2.1731,1,82000
-122.19,37.75,36,1126,263,482,150,1.9167,1,82800
-122.18,37.75,43,1036,233,652,213,2.069,1,84600
-122.18,37.75,36,1047,214,651,166,1.712,1,82100
-122.17,37.76,33,1280,307,999,286,2.5625,1,89300
-122.17,37.75,43,1587,320,907,306,1.9821,1,98300
-122.17,37.75,41,1257,271,828,230,2.5043,1,92300
-122.17,37.75,44,1218,248,763,254,2.3281,1,88800
-122.17,37.75,48,1751,390,935,349,1.4375,1,90000
-122.16,37.76,45,2299,514,1437,484,2.5122,1,95500
-122.16,37.75,38,2457,624,1516,482,1.5625,1,91700
-122.17,37.75,47,998,211,597,185,3.1587,1,100400
-122.17,37.76,40,1685,343,949,342,1.8426,1,94800
-122.16,37.76,46,1827,307,881,302,4.6696,1,164300
-122.16,37.76,36,2781,574,1438,519,2.4598,1,155500
-122.15,37.76,39,1823,286,763,270,6.0749,1,196900
-122.14,37.77,27,2229,365,1297,355,4.8304,1,279100
-122.14,37.76,34,1513,231,545,211,5.5701,1,252800
-122.13,37.76,26,3266,491,1222,533,5.37,1,275400
-122.12,37.75,33,1809,261,808,219,6.86,1,250000
-122.12,37.75,28,794,111,329,109,7.6923,1,329800
-122.14,37.75,36,690,105,299,109,4.0313,1,195500
-122.14,37.75,33,1334,200,579,202,6.8323,1,255900
-122.13,37.75,30,414,54,137,50,4.975,1,311100
-122.13,37.75,36,768,93,229,93,5.3602,1,330000
-122.13,37.74,41,4400,666,1476,648,5,1,248900
-122.16,37.75,46,954,161,429,154,2.925,1,142900
-122.15,37.75,40,1445,256,849,255,3.8913,1,126300
-122.15,37.75,44,1938,399,946,331,3.225,1,135800
-122.15,37.74,41,856,178,571,191,3.1458,1,130600
-122.16,37.75,24,1790,454,1137,386,2.537,1,107900
-122.16,37.75,44,617,131,378,135,2.5568,1,111100
-122.15,37.74,43,1383,275,853,272,3.5083,1,122000
-122.15,37.74,49,1325,277,764,282,3.3125,1,118000
-122.16,37.75,40,1227,294,928,261,1.8235,1,95200
-122.16,37.75,35,667,140,406,133,3.8047,1,94300
-122.17,37.74,34,1223,281,824,280,2.2917,1,92500
-122.17,37.75,37,1379,287,835,259,2.4962,1,91800
-122.16,37.74,43,1534,300,826,295,4.0417,1,109400
-122.16,37.74,46,1029,181,567,211,3.4844,1,129500
-122.16,37.74,52,771,147,355,144,4.1458,1,143400
-122.16,37.74,47,824,223,533,166,2.625,1,98200
-122.16,37.74,44,1097,239,609,215,2.0227,1,103100
-122.29,37.9,49,1283,238,576,236,3.3333,1,276800
-122.29,37.9,52,1604,263,594,286,5.338,1,270900
-122.29,37.89,52,2248,422,870,377,3.4732,1,246200
-122.3,37.9,38,2263,522,1027,509,3.5125,1,224200
-122.29,37.89,52,1571,349,693,326,3.1375,1,229100
-122.3,37.89,46,1520,402,815,375,2.8036,1,211600
-122.3,37.9,15,5083,1212,2420,1146,4.5824,1,256100
-122.3,37.89,36,1077,293,518,276,3.0208,1,206300
-122.3,37.89,52,1248,283,620,275,4.0875,1,221300
-122.33,37.89,42,1342,291,551,266,4.5268,1,207400
-122.34,37.88,37,3061,930,2556,924,1.7375,1,350000
-122.29,37.89,52,3171,698,1498,696,3.1795,1,218200
-122.29,37.88,50,1211,261,523,227,3.8672,1,216700
-122.29,37.89,52,979,175,374,153,5.1675,1,270600
-122.29,37.89,52,2269,380,1004,371,5.1696,1,261400
-122.28,37.88,52,1844,332,769,334,4.2614,1,261300
-122.29,37.89,52,2178,421,940,423,5.0551,1,232200
-122.27,37.9,42,1650,274,645,256,5.6228,1,375400
-122.26,37.9,52,1927,279,705,288,7.8864,1,357300
-122.27,37.9,52,2079,273,684,275,7.9556,1,374400
-122.27,37.9,52,1803,240,572,236,6.174,1,358800
-122.27,37.9,52,2041,270,671,253,6.9414,1,417500
-122.27,37.89,52,3046,373,975,365,8.8342,1,430500
-122.28,37.9,52,2318,328,779,312,7.1754,1,362900
-122.28,37.9,52,2003,250,658,244,10.0825,1,397000
-122.28,37.9,52,2261,328,819,335,4.9083,1,346800
-122.28,37.89,52,1225,169,412,168,5.7912,1,327100
-122.28,37.89,52,2315,408,835,369,4.5893,1,290100
-122.28,37.89,52,2070,329,722,306,5.4171,1,292000
-122.28,37.89,52,2616,473,1085,487,4.125,1,270900
-122.27,37.89,52,2640,366,973,355,7.266,1,371100
-122.27,37.89,52,1978,293,723,272,5.3989,1,335600
-122.26,37.9,37,2220,335,903,362,7.8336,1,371300
-122.25,37.89,41,1125,195,356,181,6.1593,1,344000
-122.26,37.89,52,3078,494,1005,462,6.381,1,342200
-122.26,37.89,52,3706,531,1205,504,6.6828,1,370900
-122.25,37.89,37,3000,457,987,450,7.5385,1,350000
-122.25,37.89,42,2863,460,1031,448,6.7138,1,368600
-122.26,37.88,52,2551,417,894,404,6.2425,1,391800
-122.26,37.88,52,2255,410,823,377,5.7979,1,415300
-122.27,37.88,52,3360,648,1232,621,4.2813,1,284900
-122.27,37.88,52,1693,391,669,367,3.5417,1,287500
-122.27,37.88,44,2252,592,989,550,3.0132,1,272900
-122.28,37.88,52,2495,491,1058,464,4.1429,1,259600
-122.28,37.88,52,1193,200,506,207,4.1912,1,254500
-122.28,37.88,52,1172,215,489,218,3.9167,1,235600
-122.29,37.88,52,2159,424,824,388,3.8897,1,218400
-122.29,37.88,48,2365,490,1034,475,3.1065,1,229200
-122.29,37.88,46,1895,442,920,425,2.9926,1,192100
-122.29,37.88,52,1650,395,841,380,3.556,1,179300
-122.3,37.88,45,453,146,749,137,1.475,1,187500
-122.3,37.88,52,409,97,208,98,1.6971,1,138800
-122.3,37.87,10,503,118,228,100,2.1705,1,150000
-122.3,37.86,50,499,127,287,128,2.75,1,140600
-122.29,37.85,52,477,119,218,106,2.5682,1,120000
-122.3,37.88,46,1647,376,854,355,2.9,1,144800
-122.3,37.87,52,3123,749,1695,684,2.2208,1,144800
-122.28,37.88,52,957,188,403,172,3.2344,1,245500
-122.28,37.87,52,589,132,288,131,3.5156,1,200000
-122.28,37.87,49,2026,548,963,521,1.9805,1,173700
-122.29,37.87,50,1829,536,1129,516,2.6684,1,185600
-122.29,37.87,52,895,198,386,204,3.875,1,182600
-122.28,37.88,52,1909,416,811,406,3.006,1,227900
-122.28,37.87,46,3022,696,1293,675,2.543,1,220700
-122.28,37.87,46,1777,446,805,431,2.8676,1,212000
-122.27,37.88,52,2803,930,1372,876,2.1907,1,271400
-122.27,37.87,30,1465,439,862,425,1.7778,1,268800
-122.27,37.88,37,2619,682,1152,616,2.52,1,277800
-122.26,37.88,52,1149,255,483,249,4.2788,1,332500
-122.26,37.88,52,2363,604,1558,573,2.944,1,338900
-122.26,37.88,52,2604,837,1798,769,1.725,1,287500
-122.25,37.87,41,685,141,266,123,5.2289,1,384600
-122.25,37.87,42,1756,465,2184,422,2.5562,1,371400
-122.25,37.87,52,1204,460,2016,477,0.949,1,350000
-122.25,37.87,52,609,236,1349,250,1.1696,1,500001
-122.26,37.87,52,1087,371,3337,350,1.4012,1,175000
-122.26,37.87,52,2773,998,1721,949,1.1859,1,241700
-122.27,37.87,35,3218,1108,1675,1000,1.7464,1,216700
-122.27,37.87,49,1350,368,707,350,2.8846,1,211300
-122.27,37.87,52,3084,698,1424,694,2.7372,1,210200
-122.28,37.86,52,938,195,393,189,3.8594,1,196400
